[200~w	PL(all)
2.583268781	0.0017243654
2.594953255	0.0015441612
2.60663773	0.0013912670
2.618322204	0.0012604621
2.630006678	0.0011476997
2.641691152	0.0010498157
2.653375626	0.0009643014
2.6650601	0.0008891533
2.676744574	0.0008227714
2.688429048	0.0007638290
2.700113523	0.0007112563
2.711797997	0.0006641724
2.723482471	0.0006218370
2.735166945	0.0005836339
2.746851419	0.0005490406
2.758535893	0.0005176269
2.770220367	0.0004890121
2.781904841	0.0004628855
2.793589316	0.0004389654
2.80527379	0.0004170198
2.816958264	0.0003968456
2.828642738	0.0003782654
2.840327212	0.0003611254
2.852011686	0.0003452915
2.86369616	0.0003306469
2.875380634	0.0003170898
2.887065109	0.0003045302
2.898749583	0.0002928914
2.910434057	0.0002821059
2.922118531	0.0002721158
2.933803005	0.0002628728
2.945487479	0.0002543366
2.957171953	0.0002464757
2.968856427	0.0002392668
2.980540902	0.0002326968
2.992225376	0.0002267648
3.00390985	0.0002214803
3.015594324	0.0002168719
3.027278798	0.0002129880
3.038963272	0.0002099069
3.050647746	0.0002077438
3.06233222	0.0002066681
3.074016694	0.0002069153
3.085701169	0.0002087927
3.097385643	0.0002126496
3.109070117	0.0002187236
3.120754591	0.0002267323
3.132439065	0.0002351678
3.144123539	0.0002410340
3.155808013	0.0002415979
3.167492487	0.0002372510
3.179176962	0.0002312657
3.190861436	0.0002268747
3.20254591	0.0002258577
3.214230384	0.0002289938
3.225914858	0.0002368038
3.237599332	0.0002500139
3.249283806	0.0002697872
3.26096828	0.0002978591
3.272652755	0.0003365329
3.284337229	0.0003882782
3.296021703	0.0004543221
3.307706177	0.0005314711
3.319390651	0.0006082008
3.331075125	0.0006648348
3.342759599	0.0006812934
3.354444073	0.0006485749
3.366128548	0.0005774774
3.377813022	0.0004920494
3.389497496	0.0004121017
3.40118197	0.0003459818
3.412866444	0.0002942497
3.424550918	0.0002545375
3.436235392	0.0002240654
3.447919866	0.0002004876
3.459604341	0.0001820250
3.471288815	0.0001673805
3.482973289	0.0001556184
3.494657763	0.0001460630
3.506342237	0.0001382231
